tx_id,timestamp,sender_id,sender_upi,sender_role,sender_device_id,sender_ip_subnet,sender_session_count_day,sender_unique_counterparties_24h,sender_amount_velocity_1h,sender_degree,receiver_id,receiver_upi,receiver_role,receiver_device_id,receiver_ip_subnet,receiver_session_count_day,receiver_unique_counterparties_24h,receiver_amount_velocity_1h,receiver_degree,amount_inr,status,pattern,label
657b72e2-8d43-4985-8076-5e74b7291a3a,2024-01-01 00:14:12,acct_00001,7801823908@okybl,NORMAL,d3536a94effff4713fa03bff958d4f7e5421222a9143bf1fd141232a8fc894c1,195.81.216.0/24,0,0,0.0,0,acct_00799,8481816261@oksbi,MULE_LAYER,3f341aa81aab4e96a058719a3366e3eb0efdc43c1188b8e3f57b6c2fbf658b2c,24.165.65.0/24,0,0,0.0,0,189.42,SUCCESS,NORMAL,legit
510a50e4-3e97-4fdb-822e-fb864376c595,2024-01-01 00:18:14,acct_00996,9038967312@okhdfc,NORMAL,4547dc820ddcf59c5c55de9eee2adc5d5c07d8cd812eda2d16a36d80d38c797b,223.250.235.0/24,0,0,0.0,0,acct_01963,8237761767@oksbi,NORMAL,e22acd2c554948d7f04342b560e1d841eec0afac054a2d0ce80114d16fbc0b14,175.29.182.0/24,0,0,0.0,0,228.25,SUCCESS,NORMAL,legit
a19115a4-7d25-46ef-9955-def25fda0938,2024-01-01 02:24:59,acct_00539,7780324145@okybl,NORMAL,18218c8be0ce1cce6de89777cfaac2d186cb22f41ba4b52472ded21ea66ad2d3,194.70.102.0/24,0,0,0.0,0,acct_01986,8531796037@okhdfc,NORMAL,cd53b284a7ad9c67f56d4a8b767e999447e6008cd530d4d5ae7930a8af7fd9ea,117.23.124.0/24,0,0,0.0,0,667.93,SUCCESS,NORMAL,legit
6bb53652-2086-4533-83ed-6d4262163f65,2024-01-01 04:09:39,acct_00083,8661635754@okybl,NORMAL,6cbbce00bebc9f9d8b451b1149ee0b7a741e52172f682ce6ef7f17a6870b1148,60.236.130.0/24,0,0,0.0,0,acct_01229,9070617234@okicici,MULE_COLLECTOR,ca08ab02406c9709550b22b750c5f46f48c7abb19b53808fd61332b5b802fe01,179.33.231.0/24,0,0,0.0,0,3592.55,FAILED,SIMPLE_INFLOW,fraud
1c4d8fcd-3dac-48de-9e27-456e1501610a,2024-01-01 04:11:39,acct_02078,6356458024@oksbi,NORMAL,6e2be2bf66006165232dc10d1f6fd81c9a1c044dfc5cbc2b07186765e7343f8f,24.114.214.0/24,0,0,0.0,0,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,1,0.0,1,4903.51,PENDING,SIMPLE_INFLOW,fraud
b90f32aa-039c-46eb-9fe9-33d7b8bf15ea,2024-01-01 04:14:10,acct_02409,6423518096@okybl,NORMAL,3762df454dcf03cfa3ef54d333793c39d27a52562a0b4c92bd0195727354460b,71.174.127.0/24,0,0,0.0,0,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,2,0.0,2,4836.83,SUCCESS,SIMPLE_INFLOW,fraud
ad2ef0e0-18d3-4a48-8210-c15b73b3da39,2024-01-01 04:18:09,acct_00307,6907055132@okaxis,NORMAL,de25da5d3d679e032ecb2685da6d7a35e2cb75ccf3e65bcc3fe53c8e637247f4,94.19.192.0/24,0,0,0.0,0,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,121.12.124.0/24,1,3,0.0,3,6485.33,SUCCESS,SIMPLE_INFLOW,fraud
b8bc84e2-8b7d-4185-a702-f32968813361,2024-01-01 04:25:25,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,4,0.0,4,acct_00936,9941461719@okicici,MULE_SINK,19d21bb529a8abb74d6c23dada98c2b37cc74a46a00fa2e6222ee71e851e443a,171.142.72.0/24,0,0,0.0,0,1185.27,PENDING,SIMPLE_OUTFLOW,fraud
218c68ec-3257-4f67-be46-d7bd2f84171c,2024-01-01 04:28:13,acct_01229,9070617234@okicici,MULE_COLLECTOR,ca08ab02406c9709550b22b750c5f46f48c7abb19b53808fd61332b5b802fe01,121.12.124.0/24,1,5,1185.27,5,acct_02954,6130228560@okhdfc,MULE_SINK,16e1c163d7565c547f5886f26d196c339adabf0305fea2db3ab502936302c86e,160.107.119.0/24,0,0,0.0,0,1793.97,SUCCESS,SIMPLE_OUTFLOW,fraud
004abf96-4c6c-4949-8cf8-7c9f2fcba7f5,2024-01-01 04:29:13,acct_01229,9070617234@okicici,MULE_COLLECTOR,ca08ab02406c9709550b22b750c5f46f48c7abb19b53808fd61332b5b802fe01,121.12.124.0/24,1,6,2979.24,6,acct_01059,8043070295@oksbi,MULE_SINK,7276d6ea89ac0bd2b8717052927c896849db954170527967f3298baade414687,121.131.65.0/24,0,0,0.0,0,1073.46,FAILED,SIMPLE_OUTFLOW,fraud
cca348be-5953-446f-8c9f-f04096daaba1,2024-01-01 04:29:15,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,7,4052.7,7,acct_01544,9342746903@okybl,MULE_SINK,6705b189105622187a6be54a514c99d7e4ddf151f3f196d514e2290575d1e85d,178.64.111.0/24,0,0,0.0,0,1745.25,SUCCESS,SIMPLE_OUTFLOW,fraud
19cdeb1b-b530-41dc-8887-eb154d69c067,2024-01-01 04:34:27,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,179.33.231.0/24,1,8,5797.95,8,acct_02418,8211612222@okybl,MULE_SINK,1cd33651061fb26993ff19bf6d6145c6824cae4b83863628d1a63ba8883af391,5.220.61.0/24,0,0,0.0,0,1922.03,SUCCESS,SIMPLE_OUTFLOW,fraud
111d8ae0-b016-4d19-9fd1-7dbeee976172,2024-01-01 04:39:12,acct_01229,9070617234@okicici,MULE_COLLECTOR,ca08ab02406c9709550b22b750c5f46f48c7abb19b53808fd61332b5b802fe01,205.11.199.0/24,1,9,7719.98,9,acct_01245,6712730078@okaxis,MULE_SINK,a2d63e3f2f4768bf02d6ee1cae09b2610eb4802482da456bc9482b1643e187ce,183.138.30.0/24,0,0,0.0,0,618.38,SUCCESS,SIMPLE_OUTFLOW,fraud
5a4e991b-65ab-43a4-b83e-8d0dc94ec9f5,2024-01-01 04:39:34,acct_01229,9070617234@okicici,MULE_COLLECTOR,ca08ab02406c9709550b22b750c5f46f48c7abb19b53808fd61332b5b802fe01,179.33.231.0/24,1,10,8338.36,10,acct_00692,7679784362@okybl,MULE_SINK,9749181b91d74c914a4bda3e7a6d2424dced9562835974d7698bb64f4d6fc6aa,222.105.66.0/24,0,0,0.0,0,2172.24,SUCCESS,SIMPLE_OUTFLOW,fraud
df8b30d0-1601-4f5e-ba5a-c986a6032407,2024-01-01 04:42:20,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,11,10510.6,11,acct_01816,6059760920@okaxis,MULE_SINK,5eadb4702e21faa5f397962aed747d0c42ce72e2b2c68d24b1ce6ec7cdd2a67f,174.203.137.0/24,0,0,0.0,0,1600.45,SUCCESS,SIMPLE_OUTFLOW,fraud
87b2a4b4-0fe3-4b7e-b4a5-f5ee5d61eb87,2024-01-01 04:43:34,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,205.11.199.0/24,1,12,12111.05,12,acct_01499,8487987460@oksbi,MULE_SINK,fece4359f388e7905e567833afb886d69dfb5c028cbccdc2701ee9e17498ed59,81.246.68.0/24,0,0,0.0,0,1345.39,SUCCESS,SIMPLE_OUTFLOW,fraud
b9347ec0-26bb-4cc6-acad-497aa4072b2c,2024-01-01 04:44:53,acct_01229,9070617234@okicici,MULE_COLLECTOR,38aeb8e41ced7c65d48bcd69b117c76a272b08fa32f37a8cbd6e0d1ad8b08326,121.12.124.0/24,1,13,13456.44,13,acct_01321,6110987391@okybl,MULE_SINK,dd40c37bab5a22d3f171db05fa0ab9554e5a3981a5e8da4a1fe45355996303b4,75.133.81.0/24,0,0,0.0,0,1917.35,SUCCESS,SIMPLE_OUTFLOW,fraud
